what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339790158929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339790168625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339790172137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791010350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1339791022256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791026018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791088660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791089830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791226866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791227987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339809193112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339809194098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339809195814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339809196166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339809198143
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339809199484
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1339809202557
error,log,,,"Invalid preference page path: Logging",1339809203322
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1339809203556
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1339809203587
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1339809203587
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1339809203587
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1339809203587
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1339809203587
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1339809203587
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1339809203587
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,16.0.1.v201112150204-238534,"overlay.com.android.ide.eclipse.adt.overlay",1339809203587
stopped,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1339809203634
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1339809203634
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1339809203634
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1339809203634
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1339809203634
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1339809203634
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1339809203634
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1339809203649
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1339809203649
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1339809203649
stopped,bundle,org.eclipse.m2e.core.ui,1.0.0.20110607-2117,"org.eclipse.m2e.core.ui",1339809203649
stopped,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1339809203649
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1339809203649
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1339809203649
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1339809203649
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1339809203649
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1339809203649
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1339809203649
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1339809203649
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1339809203649
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1339809203649
