what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1340030077151
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340030078143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340030081046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030083191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030083561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030140229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030155876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030159332
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1340030172864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030187572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030187955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030203959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340030205072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030206602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030206923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030213615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1340030225167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340030235809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030237507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030237852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030243148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1340030251347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030251768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030253954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340030260585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030274080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030274431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030279628
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1340030289801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030290115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030295871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340030297701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1340030300238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030300836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030306451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030310952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030311285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030313922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340030318761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030321509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030370017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1340030372221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1340030381066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030382739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030383144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030398195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340030402913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030404259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340030416592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1340030421182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030422470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030423510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030424219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030425216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030427607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030434527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030435394
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030438303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030441149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030441464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030446329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030446666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030755799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030761166
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340030851884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030851918
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340030851930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030872909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030902670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340030910555
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1340030912507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030918322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030920083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030961782
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340030964141
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340030964175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340030968515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030970930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030983508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030985120
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340030987215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340030987243
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340030987251
error,log,,,"Unhandled event loop exception",1340030995027
error,log,,,"current state was null - this shouldn't have happened!",1340030995429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340031002200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031003139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031019643
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.copyLineUp",1340031023774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340031025857
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031027516
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031027978
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031028115
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031029677
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031031462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1340031037821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340031040881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340031042208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031043683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031047485
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031067280
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031082400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340031101097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031102164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031107811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031119474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031132324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340031136893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031137809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031149573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031152396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031164199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340031170370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031172506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031204163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1340031214331
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340031216008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340031218750
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031220141
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340031220141
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1340031224831
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031239568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031258235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031263069
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.properties",1340031263077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031273777
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1340031337650
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1340031347638
started,bundle,com.python.pydev.debug,2.4.0.2012020116,"com.python.pydev.debug",1340031388047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031412865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1340031412901
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1340031418880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031423131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031431297
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031432319
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031440972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031445773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031449907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031451494
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340031531807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031531887
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340031531896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1340031545202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031553765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031556237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031556884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340031558817
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1340031647220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340031659325
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340031665962
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340031665962
