what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.copyLineDown",1340060235259
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1340060252947
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1340060253122
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1340060253260
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1340060253402
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1340060253685
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1340060254036
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1340060254388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060321261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060321703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060353554
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060369261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060393766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060409830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060429965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060438721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060472667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060474961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060506148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060544198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060547437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060630836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060642641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060651939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060684048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060693436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060723652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060725428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060764808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060769259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060805044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060807726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060851679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060854058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060854721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060881666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060914351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060914932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060923720
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060925691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060925941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060930800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340060934083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060934350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060937532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340060969925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061115987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340061130711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340061154268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061154568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061168528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061172116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061184561
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340061188146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061189706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061235553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061239141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061322020
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061326885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061628181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340061675986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061676574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061686930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061691537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061718514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340061727997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061728311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061733652
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1340061736737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340061737018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340061738365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340061742383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061742777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061742883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061743797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061760686
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340061779201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061779521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340061787774
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340061797023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1340061805294
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340061823683
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340061825082
