what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055275453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055280655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340055284397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055284684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055287572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340055292698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1340055295332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340055296572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055296842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055299129
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340055300209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340055301451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055301782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055352293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340055362957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055363473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055367252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055375463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055395313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055399625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055406880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055408530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055421200
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340055426669
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340055431903
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340055436188
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340055438510
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340055441984
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340055443062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055531441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055538762
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340055543311
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340055545976
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340055546893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340055560859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055561970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055570101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055570637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055593937
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340055595556
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340055600010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340055607653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055607947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055612512
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340055614536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055615282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340055618035
