what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037576562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037584725
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340037586211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340037587790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340037597152
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1340037629785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037650768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037651570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037680392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037682315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037724416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037726559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037728779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037732150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037752819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037760264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340037762187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037764344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037766959
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037769317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037778873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037779604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037785987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340037791602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037791890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340037793314
