what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340051142417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051178423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051205470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051225848
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340051257871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051257911
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340051257918
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340051265078
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340051265078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051265961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051268751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051269352
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340051275779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051275805
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340051275813
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1340051298603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051299767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051305463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051331989
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051335751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051336242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340051341637
