what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1339848896541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339848896634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339848898241
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1339848898247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339848909503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849034186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849044069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849054725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849058440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1339849071697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339849076289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849086534
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849104021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849109996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849127716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849134646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849187181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849191621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849219120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849227796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849325781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339849338113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1339849345723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849347224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849348894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849371289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339849373473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849401949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849403492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849586673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849628174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849635273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849654543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849670346
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849676104
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849681213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849687610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849690266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849721690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1339849728157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849741813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849743009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849749692
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339849751370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849776538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849799757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849832753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849833151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849838714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849846237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849846527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849849114
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849856394
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849856882
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849856912
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849856943
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849856975
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849857006
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849857038
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849857069
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849857101
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849857237
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849857413
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849857588
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineUp",1339849857764
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.moveLineDown",1339849858150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849873970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849874277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849880353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849925510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849925784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849933114
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849982252
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339849986274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339849986606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339850114497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1339850146495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1339850152031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339850155507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339850164202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339850175888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339850178290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339850181191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339850192087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853513273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853518304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853519077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853525458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1339853562811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339853565285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1339853569618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339853571981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339853578784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853580595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853589788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339853597541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853598566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853621591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339853677126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853682997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853701670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339853712991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853713432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853722509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339853727443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853728332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853733807
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339853822409
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1339853825834
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339853825919
opened,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1339853826339
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1339853826419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1339853826438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853851737
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853955286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1339853962348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853972010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853973793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339853976994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339854018684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339854019332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339854639733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339854657526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339854693790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339854712347
